Profession,Interests,,,,,
Software Engineer,"Coding, problem-solving, computers, logic, teamwork, innovation, mathematics, technology, automation",,,,,
Data Scientist,"Statistics, machine learning, problem-solving, data analysis, visualization, research, coding, AI",,,,,
Cybersecurity Specialist,"Security, computers, problem-solving, ethical hacking, coding, encryption, technology, critical thinking",,,,,
Blockchain Developer,"Cryptography, decentralization, coding, programming, fintech, innovation, problem-solving, security",,,,,
Machine Learning Engineer,"Artificial intelligence, mathematics, programming, statistics, automation, innovation, coding, research",,,,,
Doctor,"Biology, helping others, compassion, anatomy, problem-solving, research, patient care, teamwork",,,,,
Nurse,"Patient care, compassion, biology, teamwork, communication, empathy, first aid, problem-solving",,,,,
Teacher,"Mentorship, communication, learning, teaching, subject-specific knowledge, patience, public speaking",,,,,
Architect,"Creativity, designing, mathematics, physics, visualization, problem-solving, drawing, teamwork",,,,,
Civil Engineer,"Infrastructure, problem-solving, mathematics, physics, designing, planning, teamwork, construction",,,,,
Mechanical Engineer,"Machines, problem-solving, mathematics, physics, innovation, designing, automation, teamwork",,,,,
Electrical Engineer,"Circuits, electricity, problem-solving, physics, mathematics, innovation, designing, automation",,,,,
Civil Service (India),"Law, public service, politics, leadership, problem-solving, teamwork, decision-making, research",,,,,
Army Officer,"Patriotism, leadership, teamwork, physical fitness, discipline, adventure, strategy, communication",,,,,
Navy Officer,"Adventure, patriotism, leadership, teamwork, physical fitness, discipline, navigation, problem-solving",,,,,
Pilot,"Flying, adventure, discipline, teamwork, decision-making, physical fitness, technology, communication",,,,,
Police Officer,"Law, public service, leadership, physical fitness, discipline, problem-solving, investigation, teamwork",,,,,
Politician,"Public service, law, leadership, communication, public speaking, strategy, teamwork, decision-making",,,,,
Lawyer,"Law, critical thinking, communication, public speaking, research, problem-solving, negotiation, teamwork",,,,,
Judge,"Law, decision-making, critical thinking, research, leadership, fairness, public speaking, communication",,,,,
Journalist,"Writing, research, communication, public speaking, storytelling, investigation, curiosity, politics",,,,,
Photographer,"Creativity, cameras, observation, storytelling, art, visual communication, editing, travel",,,,,
Videographer,"Filmmaking, creativity, editing, storytelling, cameras, visual arts, technology, teamwork",,,,,
Graphic Designer,"Creativity, designing, visual arts, computers, software, communication, problem-solving, marketing",,,,,
Game Developer,"Programming, creativity, problem-solving, designing, storytelling, computers, logic, teamwork",,,,,
Animator,"Creativity, storytelling, designing, computers, software, visual arts, teamwork, problem-solving",,,,,
UX/UI Designer,"Designing, creativity, problem-solving, psychology, user experience, prototyping, communication, technology",,,,,
Chef,"Cooking, creativity, food, teamwork, time management, innovation, attention to detail, customer service",,,,,
Entrepreneur,"Leadership, innovation, creativity, problem-solving, decision-making, risk-taking, business, communication",,,,,
Financial Analyst,"Numbers, mathematics, economics, problem-solving, analysis, research, critical thinking, planning",,,,,
Accountant,"Mathematics, numbers, finance, attention to detail, problem-solving, organization, communication, law",,,,,
Banker,"Finance, numbers, customer service, communication, mathematics, economics, problem-solving, planning",,,,,
Economist,"Economics, research, mathematics, problem-solving, critical thinking, finance, public policy, planning",,,,,
Psychologist,"Human behavior, research, listening, empathy, problem-solving, communication, mental health, counseling",,,,,
Social Worker,"Helping others, public service, empathy, communication, advocacy, teamwork, problem-solving, leadership",,,,,
Physiotherapist,"Healthcare, helping others, anatomy, biology, physical fitness, problem-solving, communication, teamwork",,,,,
Pharmacist,"Healthcare, biology, chemistry, helping others, attention to detail, research, teamwork, problem-solving",,,,,
Dentist,"Healthcare, anatomy, biology, attention to detail, problem-solving, patient care, communication, precision",,,,,
Veterinarian,"Animals, healthcare, biology, compassion, communication, helping others, problem-solving, research",,,,,
Zoologist,"Animals, biology, research, conservation, environmentalism, observation, problem-solving, fieldwork",,,,,
Marine Biologist,"Ocean, animals, biology, research, environmentalism, diving, conservation, fieldwork, observation",,,,,
Astronomer,"Space, science, mathematics, physics, research, observation, problem-solving, technology, telescopes",,,,,
Astrophysicist,"Space, physics, mathematics, research, problem-solving, critical thinking, observation, technology",,,,,
Geologist,"Earth sciences, fieldwork, research, observation, problem-solving, geography, environment, exploration",,,,,
Meteorologist,"Weather, science, observation, research, problem-solving, physics, environmentalism, communication",,,,,
Biologist,"Science, research, biology, problem-solving, environmentalism, observation, teamwork, critical thinking",,,,,
Chemist,"Chemistry, research, problem-solving, laboratory work, mathematics, attention to detail, innovation, teamwork",,,,,
Environmental Scientist,"Environment, research, problem-solving, biology, chemistry, conservation, sustainability, fieldwork",,,,,
Statistician,"Mathematics, research, data analysis, problem-solving, critical thinking, patterns, numbers, computers",,,,,
Mathematician,"Mathematics, problem-solving, research, logic, critical thinking, numbers, education, analysis",,,,,
Physicist,"Physics, research, problem-solving, mathematics, critical thinking, observation, technology, innovation",,,,,
Research Scientist,"Science, research, problem-solving, observation, critical thinking, innovation, data, experimentation",,,,,
AI Researcher,"Artificial intelligence, programming, problem-solving, research, mathematics, automation, computers",,,,,
Robotics Engineer,"Robotics, programming, problem-solving, mathematics, innovation, designing, automation, teamwork",,,,,
